№,id,Link ru,Link uz - lotincha,,Xizmat nomi - ru,Xizmat nomi - uz,Muxlisa text - RU,Muxlisa text - UZ
98,660,https://my3.gov.uz/ru/service/660,https://my3.gov.uz/uz/service/660,https://my3.gov.uz/y3/service/660,Подача заявления для перевода детей с одной школы в другую,Болаларни бир мактабдан бошқа мактабга кўчириш учун ариза юбориш,С помощью данной услуги родители ребёнка или опекун ребенка могут отправить заявление о переводе ребенка из одной школы в другую.,"Bolaning ota-onasi yoki ota-onasini o‘rinini bosuvchi shaxs mazkur xizmatdan foydalanib, bolani bir maktabdan boshqa maktabga ko‘chirish uchun ariza yuborishlari mumkin. "
99,659,https://my3.gov.uz/ru/service/659,https://my3.gov.uz/uz/service/659,https://my3.gov.uz/y3/service/659,Аттестация экспертов в области промышленной безопасности,Саноат хавфсизлиги соҳасидаги экспертларни аттестациядан ўтказиш,"Воспользоваться данной услугой могут физические лица, имеющие сертификат об окончании курсов подготовки экспертов. ",Mazkur xizmatdan ekspertlarni tayyorlash o‘quv kursini tamomlaganligi to‘g‘risidagi sertifikatga ega jismoniy shaxslar foydalanishlari mumkin.
100,658,https://my3.gov.uz/ru/service/658,https://my3.gov.uz/uz/service/658,https://my3.gov.uz/y3/service/658,"Проверка запрета на недвижимость в информационной системе ""Нотариус""",Нотариус ахборот тизимида кўчмас мулкка қўйилган тақиқни текшириш,Проверьте запрет на недвижимость в информационной системе Нотариус без лишней суеты и документов.,Ortiqcha ovoragarchiliklarsiz va hujjatlarsiz Notarius axborot tizimida ko‘chmas mulkka qo‘yilgan taqiqni tekshirib oling.
101,657,https://my3.gov.uz/ru/service/657,https://my3.gov.uz/uz/service/657,https://my3.gov.uz/y3/service/657,Выделение субсидии негосударственным образовательным организациям на организацию работы по обучению иностранным языкам в сельской местности,Қишлоқ ҳудудларида хорижий тилларни ўқитиш фаолиятини ташкил этиш учун нодавлат таълим ташкилотларига субсидия ажратиш,"Приложив необходимые документы, вы можете получить субсидию для негосударственных образовательных организаций на организацию деятельности по обучению иностранного языка в сельской местности. Заявки рассматриваются соответствующим государственным органом в течение одного месяца.","Xizmatda talab qilingan hujjatlarni ilova qilib, qishloq hududlarida xorijiy tillarni o‘qitish faoliyatini tashkil etish uchun nodavlat taʼlim tashkilotlariga subsidiya olishingiz mumkin. Arizalar bir oy davomida tegishli davlat organi tomonidan ko‘rib chiqiladi."
102,656,https://my3.gov.uz/ru/service/656,https://my3.gov.uz/uz/service/656,https://my3.gov.uz/y3/service/656,Подключение бытовых потребителей к электрическим сетям до 20 кВт,Маиший истеъмолчиларни 20 кВтгача бўлган электр тармоқларига улаш,Бытовые потребители воспользовавшись услугой смогут подключится к электрическим сетям до 20 киловатт. ,Maishiy isteʼmolchilar 20 kilovattgacha bo‘lgan elektr tarmoqlariga ulanish uchun mazkur xizmatdan foydalanishlari mumkin. Xizmatdan faqat jismoniy shaxslar foydalanishlari mumkin.
103,655,https://my3.gov.uz/ru/service/655,https://my3.gov.uz/uz/service/655,https://my3.gov.uz/y3/service/655,Проверка очереди на получение путёвки в санаторий,Санаторияга навбатни текшириш,Проверить очередь в санаторий можно с помощью данной услуги.,Xizmatdan foydalanib sanatoriyaga navbatni tekshirib olishingiz mumkin. 
104,654,https://my3.gov.uz/ru/service/654,https://my3.gov.uz/uz/service/654,https://my3.gov.uz/y3/service/654,Проверка запрета автомобиля,Aвтотранспорт воситаларининг тақиқини текшириш,"Введя данные автотранспортного средства, проверьте запрет на автотранспорт.","Avtotransport vositasi maʼlumotlarini kiritib, avtotransport vositasiga bo‘lgan taqiqni tekshirib oling."
105,653,https://my3.gov.uz/ru/service/653,https://my3.gov.uz/uz/service/653,https://my3.gov.uz/y3/service/653,Регистрация объекта для начала строительно-монтажных работ на линейном объекте,Тармоқ объектида қурилиш-монтаж ишларини бошлаш учун объектни рўйхатдан ўтказиш,Услуга предназначена для регистрации объекта для начала строительно-монтажных работ на линейном объекте. Использование услуги абсолютно бесплатно.,Xizmat tarmoq obyektida qurilish-montaj ishlarini boshlash uchun obyektni ro‘yxatdan o‘tkazish uchun mo‘ljallangan. Xizmatdan foydalanish mutlaqo bepul.
106,647,https://my3.gov.uz/ru/service/647,https://my3.gov.uz/uz/service/647,https://my3.gov.uz/y3/service/647,Переоформление разрешения на право пользования участками недр,Ер қаъри участкаларидан фойдаланиш ҳуқуқи учун рухсатномани қайта расмийлаштириш,"Переоформите разрешение на право пользования участками недр, приложив документ, являющийся основанием для переоформления разрешения.","Ruxsatnomani qayta rasmiylashtirish uchun asos bo‘lgan hujjatni ilova qilib, Yer qaʼri uchastkalaridan foydalanish huquqi uchun ruxsatnomani qayta rasmiylashtirib oling."
107,644,https://my3.gov.uz/ru/service/644,https://my3.gov.uz/uz/service/644,https://my3.gov.uz/y3/service/644,Генерация ЭЦП для юридических лиц,Юридик шахс учун ЭРИ олиш,Услуга предназначена для получения электронной цифровой подписи для юридических лиц.,Xizmat yuridik shaxslar uchun elektron raqamli imzo olishga mo‘ljallangan.
108,643,https://my3.gov.uz/ru/service/643,https://my3.gov.uz/uz/service/643,https://my3.gov.uz/y3/service/643,Расчет первоначальной суммы приватизации земельных участков несельскохозяйственного назначения,Қишлоқ хўжалигига мўлжалланмаган ер участкаларини хусусийлаштиришнинг бирламчи миқдорини ҳисоблаш,С помощью данной услиги вы можете совершенно бесплатно рассчитать первоначальную сумму приватизации земельных участков несельскохозяйственного назначения.,"Xizmatdan foydalanib, qishloq xo‘jaligiga mo‘ljallanmagan yer uchastkalarini xususiylashtirishning birlamchi miqdorini mutlaqo bepul hisoblab olishingiz mumkin."
109,642,https://my3.gov.uz/ru/service/642,https://my3.gov.uz/uz/service/642,https://my3.gov.uz/y3/service/642,"Подача заявления на получение дубликата документов о высшем, среднем специальном и профессиональном образовании","Олий, ўрта махсус, касб-ҳунар ҳамда профессионал таълим олганлик тўғрисида давлат намунасидаги ҳужжатларнинг дубликатини олиш","Воспользовавшись предлагаемой услугой, вы можете получить дубликат документов государственного образца о получении высшего, среднего специального и профессионального образования. Заявки рассматриваются соответствующим государственным органом в течение пятнадцати рабочих дней.","Taklif etilayotgan xizmatdan foydalangan holda oliy, o‘rta maxsus, kasb-hunar hamda professional taʼlim olganlik to‘g‘risida davlat namunasidagi hujjatlarning dublikatini olishingiz mumkin. Arizalar 15 ish kunida tegishli davlat organi tomonidan ko‘rib chiqiladi."
110,641,https://my3.gov.uz/ru/service/641,https://my3.gov.uz/uz/service/641,https://my3.gov.uz/y3/service/641,"Субсидия для работодателей, нанимающих лиц с инвалидностью",Ногиронлиги бўлган шахсларни ишга қабул қилган иш берувчиларга субсидия,"Вы нанимали людей с инвалидностью? Тогда вы сможете получить субсидию, воспользовавшись предлагаемой услугой.",Nogironligi bo‘lgan shaxslarni ishga qabul qilganmisiz? U holda taklif qilinayotgan xizmatdan foydalanib subsidiya olishingiz mumkin.
111,640,https://my3.gov.uz/ru/service/640,https://my3.gov.uz/uz/service/640,https://my3.gov.uz/y3/service/640,Выдача электронной доверенности физическим лицам на управление автотранспортным средствам (без права продажи и вывоза в другую страну),"Автотранспорт бошқаруви учун жисмоний шахсларга электрон ишончнома(сотиш, бошқа давлатга олиб чиқиб кетиш ҳуқуқисиз) бериш",С помощью данной услуги вы можете оформить электронную доверенность физическим лицам на управление транспортным средством. Доверенность выдается без права ее продажи или вывоза в другую страну.,"Xizmatdan foydalanib, avtotransport boshqaruvi uchun jismoniy shaxslarga elektron ishonchnoma berishingiz mumkin. Ishonchnoma sotish, boshqa davlatga olib chiqib ketish huquqisiz beriladi. "
112,633,https://my3.gov.uz/ru/service/633,https://my3.gov.uz/uz/service/633,https://my3.gov.uz/y3/service/633,Подача заявления на получение субсидии на покупки инструментов и инструментов труда для лиц с инвалидностью,Ногиронлиги бўлган ёшларга асбоб-ускуналар ва меҳнат қуролларини харид қилиш учун субсидия ажратишга ариза юбориш,"Если у вас есть инвалидность, вы можете подать заявление на получение субсидии на покупки оборудования и инструментов труда для лиц с инвалидностью. Услуга абсолютно бесплатна. Заявки рассматриваются в течение пятнадцати рабочих дней.","Nogironligingiz bo‘lsa, nogironligi bo‘lgan yoshlarga asbob-uskunalar va mehnat qurollarini xarid qilish uchun subsidiya ajratishga ariza yuborishingiz mumkin. Xizmat mutlaqo bepul. Arizalar 15 ish kunida ko‘rib chiqiladi."
113,629,https://my3.gov.uz/ru/service/629,https://my3.gov.uz/uz/service/629,https://my3.gov.uz/y3/service/629,Подача заявления на получение субсидии на расходы проживания и транспорта в период учёбы для лиц с инвалидностью,Ногиронлиги бўлган ёшларга ўқиш даврида яшаш ва транспорт харажатлари учун субсидия ажратиш учун ариза юбориш,Молодые люди с ограниченными возможностями могут воспользоваться этой услугой для подачи заявления на получение субсидий на проживание и транспортные расходы во время учебы. Заявки рассматриваются Агентством по делам молодежи в течение 3 рабочих дней.,"Nogironligi bo‘lgan yoshlar mazkur xizmatdan foydalanib, o‘qish davrida yashash va transport xarajatlari uchun subsidiya olishlari uchun ariza yuborishlari mumkin. Arizalar 3 ish kunida Yoshlar ishlari agentligi tomonidan ko‘rib chiqiladi."
114,628,https://my3.gov.uz/ru/service/628,https://my3.gov.uz/uz/service/628,https://my3.gov.uz/y3/service/628,Подача заявления на получение субсидии на расходы учёбы для лиц с инвалидностью,Ногиронлиги бўлган ёшларга ўқиш харажати учун субсидия ажратишга ариза юбориш,Предлагаемая услуга предназначена для получения субсидии на расходы учёбы для лиц с инвалидностью. Заявки рассматриваются Агентством по делам молодежи в течение 3 рабочих дней.,Taklif qilinayotgan xizmat nogironligi bo‘lgan yoshlarga o‘qish xarajati uchun subsidiya ajratishga ariza yuborish uchun mo‘ljallangan. Arizalar 3 ish kunida Yoshlar ishlari agentligi tomonidan ko‘rib chiqiladi.
115,627,https://my3.gov.uz/ru/service/627,https://my3.gov.uz/uz/service/627,https://my3.gov.uz/y3/service/627,Подача заявления на онлайн регистрацию кассовых машин,Онлайн касса аппаратларини рўйхатдан ўтказиш учун ариза бериш,Физические или юридические лица подают заявки на регистрацию онлайн-касс и посещают центры технического обслуживания с направлением по форме заявления.,"Jismoniy yoki yuridik shaxslar onlayn kassa apparatlarini ro‘yxatdan o‘tkazish uchun ariza berib, arizaga muvofiq shakllangan yo‘llanma bilan texnik xizmat ko‘rsatish markazlariga tashrif buyuradi."
116,626,https://my3.gov.uz/ru/service/626,https://my3.gov.uz/uz/service/626,https://my3.gov.uz/y3/service/626,Аттестация и регистрация кандидатов в патентные представители и аттестация патентных представителей,Патент вакиллигига номзодларни аттестациядан ва рўйхатдан ўтказиш ҳамда патент вакилини аттестациядан ўтказиш,"Услуга предназначена для аттестации патентного представителя и аттестации кандидата в патентные представители. Для использования услуги пользователю необходимо иметь диплом о высшем образовании и документы, подтверждающие квалификацию пользователя.",Xizmat patent vakilini attestatsiyadan o‘tkazish va patent vakilligiga nomzodni attestatsiyadan o‘tkazish uchun mo‘ljallangan. Xizmatdan foydalanish uchun foydalanuvchidan oliy maʼlumot to‘g‘risidagi diplom va malakasini tavsiflovchi hujjatlar talab qilinadi.
117,625,https://my3.gov.uz/ru/service/625,https://my3.gov.uz/uz/service/625,https://my3.gov.uz/y3/service/625,Присвоение квалификационных категорий судьям спорта национальной категории,Миллий тоифали спорт ҳаками тоифасини олиш учун ариза бериш,Данная услуга предназначена для отправки заявки на присвоение квалификационных категорий судьям спорта национальной категории. Заявки рассматриваются Министерством молодежной политики и спорта Республики Узбекистан в течение семи рабочих дней.,Mazkur xizmat milliy toifali sport hakami toifasini olish uchun ariza yuborishga mo‘ljallangan. Arizalar 7 ish kunida O‘zbekiston Respublikasi yoshlar siyosati va sport vazirligi tomonidan ko‘rib chiqiladi.
118,624,https://my3.gov.uz/ru/service/624,https://my3.gov.uz/uz/service/624,https://my3.gov.uz/y3/service/624,Присвоение квалификационных категорий судьям спорта,Спорт ҳакамларига малака тоифасини бериш,Для использования услуги присвоение квалификационных категорий судьям спорта пользователю необходимо иметь правку о выдаче квалификационной категории.,Sport hakamlariga malaka toifasini berish xizmatidan foydalanish uchun foydalanuvchidan malaka toifasini berish uchun maʼlumotnomasi talab qilinadi.
119,623,https://my3.gov.uz/ru/service/623,https://my3.gov.uz/uz/service/623,https://my3.gov.uz/y3/service/623,Выдача актуарного квалификационного аттестата,Актуарий малака сертификатини бериш,Для получения сертификата актуарной квалификации от заявителя не требуется никаких дополнительных документов. Заявки рассматриваются Агентством по развитию страхового рынка при Министерстве финансов Республики Узбекистан в течение тринадцати рабочих дней.,Aktuariy malaka sertifikatini olish uchun talabgordan hech qanday ortiqcha hujjatlar talab qilinmaydi. Arizalar 13 ish kunida O‘zbekiston Respublikasi Moliya vazirligi huzuridagi sug‘urta bozorini rivojlantirish agentligi tomonidan ko‘rib chiqiladi.
120,622,https://my3.gov.uz/ru/service/622,https://my3.gov.uz/uz/service/622,https://my3.gov.uz/y3/service/622,"Возмещение расходов до 50% от стоимости получения международного ИТ-сертификата, а также за изучение курсов",Халқаро IT-сертификатларини олиш ҳамда ўқиш харажатларининг 50 фоизгача бўлган қисмини қоплаб бериш,"Данная услуга рассчитана на возмещение расходов до пятидесяти процентов от стоимости получения международного ИТ-сертификата, а также за изучение курсов. Для использования услуги пользователю необходимо предоставить копию платежной квитанции, подтверждающей оплату стоимости получения международного ИТ-сертификата, копию международного ИТ-сертификата, информацию, информация, на какой счет будут направлены подлежащие покрытию средства а так же документы, подтверждающие прохождение курса обучения.","Mazkur xizmat xalqaro IT-sertifikatlarini olish hamda o‘qish xarajatlarining 50 foizgacha bo‘lgan qismini qoplab olish uchun mo‘ljallangan. Xizmatdan foydalanish uchun foydalanuvchidan  xalqaro IT-sertifikat olish uchun sarf qilgan xarajati to‘langanligini tasdiqlovchi to‘lov kvitansiyasi nusxasi, xalqaro IT-sertifikat nusxasi, qoplanishi zarur bo‘lgan mablag‘lar qaysi hisobvaraqqa yo‘naltirilishi haqidagi maʼlumotlar va o‘quv kursini tamomlaganligini tasdiqlovchi hujjatlar talab qilinadi. "
121,621,https://my3.gov.uz/ru/service/621,https://my3.gov.uz/uz/service/621,https://my3.gov.uz/y3/service/621,Справка об истории автомобиля,Автомобил тарихи ҳақида маълумотнома,"Введя данные автомобиля, получите онлайн Справку об истории автомобиля.","avtomobil maʼlumotlarini kiritib, avtomobil tarixi haqida maʼlumotnomani tez vo oson oling."
122,618,https://my3.gov.uz/ru/service/618,https://my3.gov.uz/uz/service/618,https://my3.gov.uz/y3/service/618,Замена бланка лицензий на право пользования участков недр на бланк разрешения,Ер қаъри участкаларидан фойдаланиш ҳуқуқига аввал берилган лицензияни рухсатномага алмаштириш,"Вы можете воспользоваться предлагаемой услугой для замены, ранее выданной бланка лицензий на право пользования участков недр на бланк разрешения. Для этого вам понадобится действующая форма лицензии.",Yer qaʼri uchastkalaridan foydalanish huquqiga avval berilgan litsenziyani ruxsatnomaga almashtirish uchun taklif etilayotgan xizmatdan foydalanishingiz mumkin. Buning uchun sizdan amaldagi litsenziya blankasi talab qilinadi.
123,611,https://my3.gov.uz/ru/service/611,https://my3.gov.uz/uz/service/611,https://my3.gov.uz/y3/service/611,Получение информации о месте отбывания наказания осужденных (для близких родственников),Жазони ижро этиш муассасаларида жазо муддатини ўтаётган маҳкум тўғрисидаги маълумот билан танишиш (яқин қариндошлар учун),Услугой получение информации о месте отбывания наказания осужденных могут воспользоваться только близкие родственники осужденного. Услуга абсолютно бесплатна. Информация будет предоставлена автоматически.,Jazoni ijro etish muassasalarida jazo muddatini o‘tayotgan mahkum to‘g‘risidagi maʼlumot bilan tanishish xizmatidan faqat mahkumning yaqin qarindoshlari foydalanishlari mumkin. Xizmat mutlaqo bepul. Maʼlumotnoma avtomatik tarzda taqdim qilinadi.
124,597,https://my3.gov.uz/ru/service/597,https://my3.gov.uz/uz/service/597,https://my3.gov.uz/y3/service/597,Получение квалификационного сертификата мастера-реставратора объектов материального культурного наследия,Моддий маданий мерос реставратор-усталари учун малака сертификатини олиш,"Воспользовавшись предлагаемой услугой, Вы можете получить квалификационного сертификата мастера-реставратора объектов материального культурного наследия. Есть возможность прикрепить сертификата о получении квалификации. ","Taklif etilayotgan xizmatdan foydalanib moddiy madaniy meros restavrator-ustalari uchun malaka sertifikatini olishingiz mumkin. Foydalanuvchida malaka oshirilganligi to‘g‘risidagi sertifikat mavjud bo‘lsa, sertifikatni ilova qilish imkoni mavjud."
125,594,https://my3.gov.uz/ru/service/594,https://my3.gov.uz/uz/service/594,https://my3.gov.uz/y3/service/594,Повышение квалификации специалистов ветеринарной службы,Ветеринария хизмати мутахассисларининг малакасини ошириш,"Если вы специалист ветеринарной службы, вы можете подать заявку на повышение квалификации с помощью данной услуги. Заявки рассматриваются Государственным комитетом ветеринарии и развития животноводства Республики Узбекистан в течение трёх рабочих дней.","Veterinariya xizmati mutaxassisi bo‘lsangiz, mazkur xizmatdan foydalanib malaka oshirishga ariza yuborishingiz mumkin. Arizalar 3 ish kunida O‘zbekiston Respublikasi veterinariya va chorvachilikni rivojlantirish davlat qo‘mitasi tomonidan ko‘rib chiqiladi."
126,592,https://my3.gov.uz/ru/service/592,https://my3.gov.uz/uz/service/592,https://my3.gov.uz/y3/service/592,Справка об утере предмета,Йўқолган ашёнинг топилмаганлиги тўғрисида маълумотнома олиш,Физические и юридические лица могут воспользоваться данной услугой для получения справки об утере предмета. Для использования услуги не требуются дополнительные документы.,"Jismoniy va yuridik shaxslar mazkur xizmatdan foydalanib, yo‘qolgan ashyoning topilmaganligi to‘g‘risida maʼlumotnoma olishlari mumkin. Xizmatdan foydalanish uchun ortiqcha hujjatlar talab qilinmaydi."
127,590,https://my3.gov.uz/ru/service/590,https://my3.gov.uz/uz/service/590,https://my3.gov.uz/y3/service/590,Подача заявления о приватизации государственного имущества,Давлат мулкини хусусийлаштириш бўйича ариза (буюртманома) бериш,"Воспользовавшись услугой, можно получить приказ о приватизации государственного имущества. Заявки рассматриваются Агентством по управлению государственными активами Республики Узбекистан в течение пяти рабочих дней.","Xizmatdan foydalanib, davlat mulkini xususiylashtirish bo‘yicha buyurtmanoma olish imkoni mavjud. Arizalar 5 ish kunida O‘zbekiston Respublikasi Davlat aktivlarini boshqarish agentligi tomonidan ko‘rib chiqiladi. "
128,589,https://my3.gov.uz/ru/service/589,https://my3.gov.uz/uz/service/589,https://my3.gov.uz/y3/service/589,"Выдача свидетельства лиц, давших приватизацию отдельного дома (части дома) или квартиры",Алоҳида уй (уйнинг бир қисми) ёки квартирани хусусийлаштиришга берган шахслар тўғрисидаги маълумотнома бериш,"С помощью данной услуги можно получить информацию о физических лицах, отдавших на приватизацию частный дом, часть дома или квартиру. Для использования услуги не требуется никаких дополнительных документов.","Xizmatdan foydalanib alohida uy, uyning bir qismi yoki kvartirani xususiylashtirishga bergan shaxslar to‘g‘risidagi maʼlumotnoma olishingiz mumkin. Xizmatdan foydalanish uchun hech qanday ortiqcha hujjatlar talab qilinmaydi."
129,588,https://my3.gov.uz/ru/service/588,https://my3.gov.uz/uz/service/588,https://my3.gov.uz/y3/service/588,Выдача путёвок лицам пожилого возраста и инвалидам по направлению на лечение в санатории,Кексалар ва ногиронлиги бўлган шахсларга санаторийларда даволаниш учун йўлланмалар бериш,Граждане пожилого возраста и инвалидностью могут воспользоваться данной услуги для получения направления на лечение в санатории,"Keksalar va nogironligi bo‘lgan fuqarolar mazkur xizmatdan foydalanib, sanatoriylarda davolanish uchun yo‘llanma olishlari mumkin."
130,587,https://my3.gov.uz/ru/service/587,https://my3.gov.uz/uz/service/587,https://my3.gov.uz/y3/service/587,Подача заявления на включение в «Единый реестр социальной защиты»,“Ижтимоий ҳимоя ягона реестри” га кириш учун ариза бериш,Предлагаемая услуга предназначена для подачи заявления о внесении в единый реестр социальной защиты. Заявки рассматриваются Министерством экономики и финансов Республики Узбекистан в течение одного месяца.,Taklif etilayotgan xizmat ijtimoiy himoya yagona reyestriga kirish uchun ariza berish uchun mo‘ljallangan. Arizalar bir oy davomida O‘zbekiston Respublikasi Iqtisodiyot va moliya vazirligi tomonidan ko‘rib chiqiladi.
131,586,https://my3.gov.uz/ru/service/586,https://my3.gov.uz/uz/service/586,https://my3.gov.uz/y3/service/586,"Отправка запроса о найденных и утерянных предметах, документах","Топилмалар, йўқолган буюмлар ва ҳужжатлар бўйича сўров юбориш","С помощью этой услуги вы можете отправить запроса о найденных и утерянных предметах, документах. Запросы будут обработаны в течение 60 дней.","Mazkur xizmatdan foydalanib, topilmalar, yo‘qolgan buyumlar va hujjatlar bo‘yicha so‘rov yuborishingiz mumkin. So‘rovlar 60 kun ichida ko‘rib chiqiladi."
132,567,https://my3.gov.uz/ru/service/567,https://my3.gov.uz/uz/service/567,https://my3.gov.uz/y3/service/567,Штрафы,Жарималар,Узнайте о своих штрафах задолжностях,Sizga tegishli bo‘lgan jarimalar va qarzdorliklar bo‘yicha maʼlumot oling.
133,564,https://my3.gov.uz/ru/service/564,https://my3.gov.uz/uz/service/564,https://my3.gov.uz/y3/service/564,Апелляция по результатам экзамена по иностранному языку,Чет тили имтиҳони натижалари юзасидан апелляция бериш,Не удовлетворены результатами экзамена по иностранному языку? Подайте апелляцию с помощью данной услуги. Заявки рассматриваются агентством по оценке знаний и квалификации в течение четырнадцати дней.,Chet tili imtihoni natijalaridan qoniqmadingizmi? Xizmatdan foydalanib appelyatsiya bering. Arizalar 14 kun davomida bilim va malakalarni baholash agentligi tomonidan ko‘rib chiqiladi. 
134,561,https://my3.gov.uz/ru/service/561,https://my3.gov.uz/uz/service/561,https://my3.gov.uz/y3/service/561,"Получение справки о гражданстве Республики Узбекистан для граждан, находящиеся за рубежом",Чет давлат ҳудудида Ўзбекистон Республикаси фуқаролигини тасдиқлаш бўйича тегишли маълумотнома олиш,"Что бы получить справку о гражданстве Республики Узбекистан для граждан, находящиеся за рубежом потребуется фото заявителя ",Chet davlat hududida O‘zbekiston Respublikasi fuqaroligini tasdiqlash bo‘yicha tegishli maʼlumotnoma olish uchun arizachining fotosurati talab qilinadi
135,560,https://my3.gov.uz/ru/service/560,https://my3.gov.uz/uz/service/560,https://my3.gov.uz/y3/service/560,Адресная информация территориальных отделений Пенсионного фонда,Пенсия жамғармаси ҳудудий бошқармалари манзил маълумотлари,Получите адресную информацию региональных отделений Пенсионного фонда быстро и легко. Услуга абсолютно бесплатна.,Pensiya jamg‘armasi hududiy boshqarmalari manzil maʼlumotlarini tez va oson oling. Xizmat mutlaqo bepul. 
136,559,https://my3.gov.uz/ru/service/559,https://my3.gov.uz/uz/service/559,https://my3.gov.uz/y3/service/559,Определение уровня владения иностранным языком,Чет тилини билиш даражасини аниқлаш,"С помощью данной услуги вы можете отправить заявку на сдачу экзамена по выбранному вами иностранному языку. Дата и место проведения экзамена будет прикреплена к заявлению, агентством по оценке знаний и квалификации.","Xizmatdan foydalanib, o‘zingiz istagan chet tili uchun imtihon topshirishga ariza yuborishingiz mumkin. Imtihon kuni va joyi bilim va malakalarni baholash agentligi tomonidan arizaga ilova qilib beriladi. "
137,558,https://my3.gov.uz/ru/service/558,https://my3.gov.uz/uz/service/558,https://my3.gov.uz/y3/service/558,Подача заявления на изменение данных автомототранспортов в разрешении на осуществление международных перевозок с применением книжки по международным перевозкам (МДП),Халқаро йўлларда ташиш (ХЙТ) дафтарчасидан фойдаланган ҳолда халқаро ташиш учун рухсатномада автомототранспорт воситаларининг маълумотларига ўзгартириш киритиш бўйича ариза бериш,Подайте заявления на изменение данных автомототранспортов в разрешении на осуществление международных перевозок с применением книжки по международным перевозкам. Для использования услуги от пользователя требуется электронная цифровая подпись.,Xalqaro yo‘llarda tashish daftarchasidan foydalangan holda xalqaro tashish uchun ruxsatnomada avtomototransport vositalarining maʼlumotlariga o‘zgartirish kiritish bo‘yicha ariza bering. Xizmatdan foydalanish uchun foydalanuvchidan elektron raqamli imzo talab qilinadi.
138,557,https://my3.gov.uz/ru/service/557,https://my3.gov.uz/uz/service/557,https://my3.gov.uz/y3/service/557,Подача заявления на изменение данных водителей в разрешении на осуществление международных перевозок с применением книжки по международным перевозкам (МДП),Халқаро йўлларда ташиш (ХЙТ) дафтарчасидан фойдаланган ҳолда халқаро ташиш учун рухсатномада ҳайдовчилар маълумотларини ўзгартириш учун ариза бериш,Подайте заявления на изменение данных водителей в разрешении на осуществление международных перевозок с применением книжки по международным перевозкам. Для использования услуги от пользователя требуется электронная цифровая подпись.,Xalqaro yo‘llarda tashish daftarchasidan foydalangan holda xalqaro tashish uchun ruxsatnomada haydovchilar maʼlumotlarini o‘zgartirish uchun ariza bering. Xizmatdan foydalanish uchun foydalanuvchidan elektron raqamli imzo talab qilinadi.
139,556,https://my3.gov.uz/ru/service/556,https://my3.gov.uz/uz/service/556,https://my3.gov.uz/y3/service/556,Отмена разрешения на осуществление международных перевозок с применением книжки по международным перевозкам (МДП),Халқаро йўлларда ташиш (ХЙТ) дафтарчасидан фойдаланиш учун рухсатномани бекор қилиш,С помощью данной услуги вы можете отменить разрешения на осуществление международных перевозок с применением книжки по международным перевозкам. Заявки рассматриваются Государственным таможенным комитетом Республики Узбекистан в течение двух рабочих дней.,"Xizmatdan foydalanib, xalqaro yo‘llarda tashish daftarchasidan foydalanish uchun ruxsatnomani bekor qilishingiz mumkin. Arizalar 2 ish kuni mobaynida O‘zbekiston Respublikasi Davlat bojxona qo‘mitasi tomonidan ko‘rib chiqiladi. "
140,555,https://my3.gov.uz/ru/service/555,https://my3.gov.uz/uz/service/555,https://my3.gov.uz/y3/service/555,Получение разрешения на использование книжки по международным перевозкам (МДП),Халқаро йўлларда ташиш (ХЙТ) дафтарчасидан фойдаланиш учун рухсатнома олиш,Данная услуга предназначена для получения разрешения на использование книжки по международным перевозкам. Для использования услуги необходима электронная цифровая подпись.,Mazkur xizmat xalqaro yo‘llarda tashish daftarchasidan foydalanish uchun ruxsatnoma olish uchun mo‘ljallangan. Xizmatdan foydalanish uchun elektron raqamli imzo talab qilinadi. 
141,554,https://my3.gov.uz/ru/service/554,https://my3.gov.uz/uz/service/554,https://my3.gov.uz/y3/service/554,Внесение изменения в разрешение на осуществление международных перевозок с применением книжки по международным перевозкам (МДП),Халқаро йўлларда ташиш (ХЙТ) дафтарчасидан фойдаланган ҳолда халқаро ташиш учун рухсатномага ўзгартиришлар киритиш,"Внести изменения в разрешение на осуществление международных перевозок с применением книжки по международным перевозкам, воспользовавшись предлагаемым сервисом.",Taklif qilinayotgan xizmatdan foydalanib xalqaro yo‘llarda tashish daftarchasidan foydalangan holda xalqaro tashish uchun ruxsatnomaga o‘zgartirishlar kiritish imkoni mavjud.
142,552,https://my3.gov.uz/ru/service/552,https://my3.gov.uz/uz/service/552,https://my3.gov.uz/y3/service/552,Выполнение тематических запросов (в ускоренном порядке),Мавзули сўровларни ижро этиш (Тезлаштирилган тартибда),С помощью данной услуги вы можете отправить заявку на выполнение тематических запросов в ускоренном порядке. Заявления рассматриваются Министерством юстиции Республики Узбекистан в течение 2 рабочих дней.,Mazkur xizmat yordami bilan tezlashtirilgan tartibda mavzuli so‘rovlarni ijro etishga ariza yuborishingiz mumkin. Arizalar 2 ish kunida O‘zbekiston Respublikasi Adliya vazirligi tomonidan ko‘rib chiqiladi.
143,551,https://my3.gov.uz/ru/service/551,https://my3.gov.uz/uz/service/551,https://my3.gov.uz/y3/service/551,Выдача разрешений на использование архивных документов в читальных залах государственных архивов,Давлат архивлари ўқув залларида архив ҳужжатларидан фойдаланишга рухсатнома бериш,"Воспользовавшись сервисом, вы можете получить разрешение на использование архивных документов в читальных залах государственных архивов. Услуга абсолютно бесплатна.","Xizmatdan foydalanib, davlat arxivlari o‘quv zallarida arxiv hujjatlaridan foydalanishga ruxsatnoma olishingiz mumkin. Xizmat mutlaqo bepul."
